0,,ALL,3,Jackson Hole Symposium,0,41539,Sep 1 2012,Day 3,ALL,Jackson Hole Symposium,medium, , , 
1,2012.09.04 08:00,GBP,3,BRC Retail Sales Monitor y/y,23,40206,Sep 3 2012,7:00pm,GBP,BRC Retail Sales Monitor y/y,medium,0.1%, ,-0.4%
1,2012.09.04 08:50,JPY,1,Monetary Base y/y,24,39164,Sep 3 2012,7:50pm,JPY,Monetary Base y/y,low,8.6%,9.4%, 
1,2012.09.04 10:00,NZD,1,ANZ Commodity Prices m/m,25,40075,Sep 3 2012,9:00pm,NZD,ANZ Commodity Prices m/m,low, , ,0.5%
1,2012.09.04 10:30,AUD,3,Current Account,26,39455,Sep 3 2012,9:30pm,AUD,Current Account,medium, ,-12.3B, 
1,2012.09.04 10:30,JPY,3,Average Cash Earnings y/y,27,39013,Sep 3 2012,9:30pm,JPY,Average Cash Earnings y/y,medium, ,-0.3%, 
1,2012.09.04 12:45,JPY,1,10-y Bond Auction,28,49042,Sep 3 2012,11:45pm,JPY,10-y Bond Auction,low,0.77|2.6, ,0.81|2.8
1,2012.09.04 13:30,AUD,5,Cash Rate,29,38373,Sep 4 2012,12:30am,AUD,Cash Rate,high,3.50%,3.50%,3.50%
1,2012.09.04 13:30,AUD,5,RBA Rate Statement,30,38374,Sep 4 2012,12:30am,AUD,RBA Rate Statement,high, , , 
1,2012.09.04 14:45,CHF,3,GDP q/q,31,39294,Sep 4 2012,1:45am,CHF,GDP q/q,medium, ,0.2%, 
1,2012.09.04 16:00,EUR,3,Spanish Unemployment Change,32,44036,Sep 4 2012,3:00am,EUR,Spanish Unemployment Change,medium,-27.8K, ,38.2K
1,2012.09.04 17:30,GBP,5,Construction PMI,33,38554,Sep 4 2012,4:30am,GBP,Construction PMI,high,50.9,50.1, 
1,2012.09.04 18:00,EUR,1,PPI m/m,34,41278,Sep 4 2012,5:00am,EUR,PPI m/m,low,-0.5%,0.3%, 
1,2012.09.04 22:00,USD,1,Final Manufacturing PMI,35,43686,Sep 4 2012,9:00am,USD,Final Manufacturing PMI,low,51.9,51.9, 
1,2012.09.04 23:00,USD,5,ISM Manufacturing PMI,36,38484,Sep 4 2012,10:00am,USD,ISM Manufacturing PMI,high,49.8,50.0, 
1,2012.09.04 23:00,USD,1,Construction Spending m/m,37,40362,Sep 4 2012,10:00am,USD,Construction Spending m/m,low,0.4%,0.4%, 
1,2012.09.04 23:00,USD,1,ISM Manufacturing Prices,38,38485,Sep 4 2012,10:00am,USD,ISM Manufacturing Prices,low,39.5,46.4, 
1,2012.09.04 23:30,NZD,1,GDT Price Index,39,56282,Sep 4 2012,10:30am,NZD,GDT Price Index,low,8.0%, ,6.4%
1,2012.09.04 23:37,GBP,5,Services PMI,40,38552,Sep 4 2012,10:37am,GBP,Services PMI,high,51.0,51.3, 
0,,USD,1,Total Vehicle Sales,41,39955,Sep 4 2012,All Day,USD,Total Vehicle Sales,low,14.1M,14.1M, 
1,2012.09.05 08:01,GBP,1,BRC Shop Price Index y/y,42,40205,Sep 4 2012,7:01pm,GBP,BRC Shop Price Index y/y,low,1.0%, ,1.1%
1,2012.09.05 08:29,AUD,3,AIG Services Index,43,38445,Sep 4 2012,7:29pm,AUD,AIG Services Index,medium,46.5, ,42.4
1,2012.09.05 10:30,AUD,5,GDP q/q,44,39463,Sep 4 2012,9:30pm,AUD,GDP q/q,high, ,0.8%, 
1,2012.09.05 11:30,CNY,1,HSBC Services PMI,45,54030,Sep 4 2012,10:30pm,CNY,HSBC Services PMI,low,53.1, ,52.0
1,2012.09.05 16:00,CHF,3,Gov Board Member Danthine Speaks,46,44143,Sep 5 2012,3:00am,CHF,Gov Board Member Danthine Speaks,medium, , , 
1,2012.09.05 16:15,CHF,5,CPI m/m,47,39272,Sep 5 2012,3:15am,CHF,CPI m/m,high,-0.5%,0.1%, 
1,2012.09.05 16:15,EUR,1,Spanish Services PMI,48,43953,Sep 5 2012,3:15am,EUR,Spanish Services PMI,low,43.7, ,44.0
1,2012.09.05 16:45,EUR,1,Italian Services PMI,49,43571,Sep 5 2012,3:45am,EUR,Italian Services PMI,low,43.0,43.3, 
1,2012.09.05 16:50,EUR,1,French Final Services PMI,50,59184,Sep 5 2012,3:50am,EUR,French Final Services PMI,low,50.2,50.2, 
1,2012.09.05 16:55,EUR,1,German Final Services PMI,51,59196,Sep 5 2012,3:55am,EUR,German Final Services PMI,low,48.3,48.3,48.3
1,2012.09.05 17:00,EUR,1,Final Services PMI,52,38524,Sep 5 2012,4:00am,EUR,Final Services PMI,low,47.5,47.5,47.2
1,2012.09.05 18:00,EUR,3,Retail Sales m/m,53,41290,Sep 5 2012,5:00am,EUR,Retail Sales m/m,medium,0.1%,-0.2%,-0.2%
1,2012.09.05 18:35,EUR,3,German 10-y Bond Auction,54,42377,Sep 5 2012,5:35am,EUR,German 10-y Bond Auction,medium,1.42|1.8, ,1.42|1.1
1,2012.09.05 18:36,GBP,1,30-y Bond Auction,55,42917,Sep 5 2012,5:36am,GBP,30-y Bond Auction,low,3.22|2.2, ,2.95|1.5
1,2012.09.05 21:30,USD,3,Revised Nonfarm Productivity q/q,56,41037,Sep 5 2012,8:30am,USD,Revised Nonfarm Productivity q/q,medium,1.6%,1.8%, 
1,2012.09.05 21:30,USD,1,Revised Unit Labor Costs q/q,57,41036,Sep 5 2012,8:30am,USD,Revised Unit Labor Costs q/q,low,1.7%,1.5%,1.5%
1,2012.09.05 22:00,CAD,5,BOC Rate Statement,58,38399,Sep 5 2012,9:00am,CAD,BOC Rate Statement,high, , , 
1,2012.09.05 22:00,CAD,5,Overnight Rate,59,38398,Sep 5 2012,9:00am,CAD,Overnight Rate,high,1.00%,1.00%,1.00%
1,2012.09.06 10:30,AUD,5,Employment Change,60,39534,Sep 5 2012,9:30pm,AUD,Employment Change,high, ,5.1K, 
1,2012.09.06 10:30,AUD,5,Unemployment Rate,61,39533,Sep 5 2012,9:30pm,AUD,Unemployment Rate,high,5.2%,5.3%, 
1,2012.09.06 12:40,JPY,3,BOJ Gov Shirakawa Speaks,62,44138,Sep 5 2012,11:40pm,JPY,BOJ Gov Shirakawa Speaks,medium, , , 
1,2012.09.06 12:45,JPY,1,30-y Bond Auction,63,49094,Sep 5 2012,11:45pm,JPY,30-y Bond Auction,low,1.85|4.1, ,1.90|4.5
1,2012.09.06 16:00,GBP,3,Halifax HPI m/m,64,39928,Sep 6 2012,3:00am,GBP,Halifax HPI m/m,medium, ,0.3%, 
1,2012.09.06 18:00,EUR,1,Revised GDP q/q,65,41266,Sep 6 2012,5:00am,EUR,Revised GDP q/q,low,-0.2%,-0.2%,-0.2%
1,2012.09.06 18:01,EUR,3,French 10-y Bond Auction,66,42408,Sep 6 2012,5:01am,EUR,French 10-y Bond Auction,medium,2.53|1.9, ,2.21|2.1
1,2012.09.06 19:00,EUR,3,German Factory Orders m/m,67,40765,Sep 6 2012,6:00am,EUR,German Factory Orders m/m,medium, ,0.3%, 
1,2012.09.06 20:00,GBP,5,Asset Purchase Facility,68,38788,Sep 6 2012,7:00am,GBP,Asset Purchase Facility,high,375B,375B,375B
1,2012.09.06 20:00,GBP,5,Official Bank Rate,69,38783,Sep 6 2012,7:00am,GBP,Official Bank Rate,high,0.50%,0.50%,0.50%
1,2012.09.06 20:30,USD,1,Challenger Job Cuts y/y,70,38340,Sep 6 2012,7:30am,USD,Challenger Job Cuts y/y,low,-44.5%, ,-36.9%
1,2012.09.06 20:45,EUR,5,Minimum Bid Rate,71,38782,Sep 6 2012,7:45am,EUR,Minimum Bid Rate,high,0.75%,0.75%,0.75%
1,2012.09.06 21:15,USD,5,ADP Non-Farm Employment Change,72,38339,Sep 6 2012,8:15am,USD,ADP Non-Farm Employment Change,high, ,142K, 
1,2012.09.06 21:30,EUR,5,ECB Press Conference,73,38786,Sep 6 2012,8:30am,EUR,ECB Press Conference,high, , , 
1,2012.09.06 21:30,USD,5,Unemployment Claims,74,39835,Sep 6 2012,8:30am,USD,Unemployment Claims,high, ,369K,365K
1,2012.09.06 23:00,USD,5,ISM Non-Manufacturing PMI,75,38464,Sep 6 2012,10:00am,USD,ISM Non-Manufacturing PMI,high,52.6,52.5, 
1,2012.09.06 23:30,USD,1,Natural Gas Storage,76,39783,Sep 6 2012,10:30am,USD,Natural Gas Storage,low,66B,40B,28B
1,2012.09.07 00:00,USD,3,Crude Oil Inventories,77,41631,Sep 6 2012,11:00am,USD,Crude Oil Inventories,medium,3.8M,-4.9M,-7.4M
1,2012.09.07 01:30,EUR,5,ECB President Draghi Speaks,78,44145,Sep 6 2012,12:30pm,EUR,ECB President Draghi Speaks,high, , , 
1,2012.09.07 08:30,AUD,1,AIG Construction Index,79,38446,Sep 6 2012,7:30pm,AUD,AIG Construction Index,low,32.6, ,32.2
1,2012.09.07 10:30,AUD,5,Trade Balance,80,39498,Sep 6 2012,9:30pm,AUD,Trade Balance,high, ,-0.30B, 
1,2012.09.07 14:00,JPY,1,Leading Indicators,81,38970,Sep 7 2012,1:00am,JPY,Leading Indicators,low, ,91.7%,91.8%
1,2012.09.07 14:45,CHF,1,Unemployment Rate,82,39336,Sep 7 2012,1:45am,CHF,Unemployment Rate,low,2.9%,2.9%,2.9%
1,2012.09.07 15:00,EUR,1,German Trade Balance,83,39376,Sep 7 2012,2:00am,EUR,German Trade Balance,low, ,15.5B, 
1,2012.09.07 15:45,EUR,1,French Gov Budget Balance,84,39409,Sep 7 2012,2:45am,EUR,French Gov Budget Balance,low,-56.7B, ,-85.5B
1,2012.09.07 15:45,EUR,1,French Trade Balance,85,39408,Sep 7 2012,2:45am,EUR,French Trade Balance,low, ,-5.7B, 
1,2012.09.07 16:00,CHF,5,Foreign Currency Reserves,86,42075,Sep 7 2012,3:00am,CHF,Foreign Currency Reserves,high, , ,418.4B
1,2012.09.07 17:30,GBP,5,Manufacturing Production m/m,87,40471,Sep 7 2012,4:30am,GBP,Manufacturing Production m/m,high,-2.9%,2.1%, 
1,2012.09.07 17:30,GBP,5,PPI Input m/m,88,40269,Sep 7 2012,4:30am,GBP,PPI Input m/m,high, ,1.6%, 
1,2012.09.07 17:30,GBP,3,Consumer Inflation Expectations,89,40616,Sep 7 2012,4:30am,GBP,Consumer Inflation Expectations,medium,3.7%, ,3.2%
1,2012.09.07 17:30,GBP,1,Industrial Production m/m,90,40470,Sep 7 2012,4:30am,GBP,Industrial Production m/m,low, ,1.6%, 
1,2012.09.07 17:30,GBP,1,PPI Output m/m,91,40270,Sep 7 2012,4:30am,GBP,PPI Output m/m,low, ,0.2%, 
1,2012.09.07 19:00,EUR,3,German Industrial Production m/m,92,40766,Sep 7 2012,6:00am,EUR,German Industrial Production m/m,medium, ,0.1%, 
1,2012.09.07 21:30,CAD,5,Building Permits m/m,93,41851,Sep 7 2012,8:30am,CAD,Building Permits m/m,high, ,-1.5%, 
1,2012.09.07 21:30,CAD,5,Employment Change,94,41931,Sep 7 2012,8:30am,CAD,Employment Change,high,-30.4K,9.9K, 
1,2012.09.07 21:30,CAD,5,Unemployment Rate,95,41932,Sep 7 2012,8:30am,CAD,Unemployment Rate,high,7.3%,7.3%,7.3%
1,2012.09.07 21:30,CAD,3,Labor Productivity q/q,96,41952,Sep 7 2012,8:30am,CAD,Labor Productivity q/q,medium, ,0.0%, 
1,2012.09.07 21:30,USD,5,Non-Farm Employment Change,97,38307,Sep 7 2012,8:30am,USD,Non-Farm Employment Change,high, ,123K, 
1,2012.09.07 21:30,USD,5,Unemployment Rate,98,38306,Sep 7 2012,8:30am,USD,Unemployment Rate,high,8.3%,8.3%, 
1,2012.09.07 21:30,USD,3,Average Hourly Earnings m/m,99,38308,Sep 7 2012,8:30am,USD,Average Hourly Earnings m/m,medium,0.1%,0.2%, 
1,2012.09.07 23:00,CAD,5,Ivey PMI,100,40174,Sep 7 2012,10:00am,CAD,Ivey PMI,high,62.8,61.2, 
1,2012.09.07 23:00,GBP,3,NIESR GDP Estimate,101,40551,Sep 7 2012,10:00am,GBP,NIESR GDP Estimate,medium, , ,0.2%
1,2012.09.08 00:40,CAD,3,BOC Gov Carney Speaks,102,44140,Sep 7 2012,11:40am,CAD,BOC Gov Carney Speaks,medium, , , 
1,2012.09.08 20:15,GBP,3,MPC Member Dale Speaks,103,44139,Sep 8 2012,7:15am,GBP,MPC Member Dale Speaks,medium, , , 
1,2012.09.09 10:30,CNY,5,CPI y/y,104,39640,Sep 8 2012,9:30pm,CNY,CPI y/y,high,1.8%,2.0%,2.0%
1,2012.09.09 10:30,CNY,3,PPI y/y,105,39641,Sep 8 2012,9:30pm,CNY,PPI y/y,medium,-2.9%,-3.2%, 
1,2012.09.09 14:30,CNY,3,Fixed Asset Investment ytd/y,106,39642,Sep 9 2012,1:30am,CNY,Fixed Asset Investment ytd/y,medium,20.4%,20.4%,20.2%
1,2012.09.09 14:30,CNY,3,Industrial Production y/y,107,39639,Sep 9 2012,1:30am,CNY,Industrial Production y/y,medium,9.2%,9.0%,8.9%
1,2012.09.09 14:30,CNY,1,Retail Sales y/y,108,39643,Sep 9 2012,1:30am,CNY,Retail Sales y/y,low,13.1%,13.2%,13.2%
1,2012.09.10 07:45,NZD,1,Manufacturing Sales q/q,109,40041,Sep 9 2012,6:45pm,NZD,Manufacturing Sales q/q,low, , ,-1.1%
1,2012.09.10 08:50,JPY,5,Current Account,110,38934,Sep 9 2012,7:50pm,JPY,Current Account,high,0.77T,0.39T, 
1,2012.09.10 08:50,JPY,3,Final GDP q/q,111,38892,Sep 9 2012,7:50pm,JPY,Final GDP q/q,medium,0.3%,0.3%, 
1,2012.09.10 08:50,JPY,1,Bank Lending y/y,112,38935,Sep 9 2012,7:50pm,JPY,Bank Lending y/y,low,0.7%, ,0.9%
1,2012.09.10 08:50,JPY,1,Final GDP Price Index y/y,113,38893,Sep 9 2012,7:50pm,JPY,Final GDP Price Index y/y,low,-1.1%,-1.1%, 
1,2012.09.10 10:30,AUD,3,Home Loans m/m,114,39549,Sep 9 2012,9:30pm,AUD,Home Loans m/m,medium, ,0.1%, 
1,2012.09.10 10:35,NZD,3,REINZ HPI m/m,115,40146,Sep 9 2012,9:35pm,NZD,REINZ HPI m/m,medium,-0.7%, ,1.3%
1,2012.09.10 12:03,CNY,5,Trade Balance,116,39707,Sep 9 2012,11:03pm,CNY,Trade Balance,high,25.1B,18.9B, 
1,2012.09.10 14:00,JPY,1,Consumer Confidence,117,39122,Sep 10 2012,1:00am,JPY,Consumer Confidence,low,39.7,39.6, 
1,2012.09.10 15:00,JPY,1,Economy Watchers Sentiment,118,39121,Sep 10 2012,2:00am,JPY,Economy Watchers Sentiment,low,44.2,43.6,43.6
1,2012.09.10 15:45,EUR,3,French Industrial Production m/m,119,39424,Sep 10 2012,2:45am,EUR,French Industrial Production m/m,medium,0.0%,-0.5%, 
1,2012.09.10 17:30,EUR,3,Sentix Investor Confidence,120,39876,Sep 10 2012,4:30am,EUR,Sentix Investor Confidence,medium,-30.3,-30.4, 
1,2012.09.11 04:00,USD,1,Consumer Credit m/m,121,41154,Sep 10 2012,3:00pm,USD,Consumer Credit m/m,low, ,9.1B, 
1,2012.09.11 08:01,GBP,3,RICS House Price Balance,122,40626,Sep 10 2012,7:01pm,GBP,RICS House Price Balance,medium, ,-22%, 
1,2012.09.11 08:50,JPY,3,BSI Manufacturing Index,123,39135,Sep 10 2012,7:50pm,JPY,BSI Manufacturing Index,medium,-5.7,-6.1, 
1,2012.09.11 08:50,JPY,1,M2 Money Stock y/y,124,38936,Sep 10 2012,7:50pm,JPY,M2 Money Stock y/y,low,2.2%,2.3%, 
1,2012.09.11 10:30,AUD,3,NAB Business Confidence,125,39248,Sep 10 2012,9:30pm,AUD,NAB Business Confidence,medium, , ,-2
1,2012.09.11 11:00,CNY,3,New Loans,126,39684,Sep 10 2012,10:00pm,CNY,New Loans,medium,540B,605B, 
1,2012.09.11 14:30,EUR,1,French Final Non-Farm Payrolls q/q,127,40302,Sep 11 2012,1:30am,EUR,French Final Non-Farm Payrolls q/q,low,-0.1%,-0.1%,-0.1%
1,2012.09.11 15:00,EUR,1,German WPI m/m,128,39904,Sep 11 2012,2:00am,EUR,German WPI m/m,low,0.3%,0.3%, 
1,2012.09.11 15:00,JPY,1,Prelim Machine Tool Orders y/y,129,39075,Sep 11 2012,2:00am,JPY,Prelim Machine Tool Orders y/y,low, , ,-2.6%
1,2012.09.11 16:59,CNY,1,M2 Money Supply y/y,130,39683,Sep 11 2012,3:59am,CNY,M2 Money Supply y/y,low,13.9%,14.1%, 
1,2012.09.11 17:30,GBP,3,Trade Balance,131,40271,Sep 11 2012,4:30am,GBP,Trade Balance,medium,-10.1B,-8.9B, 
1,2012.09.11 18:00,GBP,3,MPC Member McCafferty Speaks,132,44431,Sep 11 2012,5:00am,GBP,MPC Member McCafferty Speaks,medium, , , 
1,2012.09.11 20:30,USD,1,NFIB Small Business Index,133,48406,Sep 11 2012,7:30am,USD,NFIB Small Business Index,low,91.2,91.5, 
1,2012.09.11 21:13,CAD,1,Housing Starts,134,41699,Sep 11 2012,8:13am,CAD,Housing Starts,low, ,203K, 
1,2012.09.11 21:30,CAD,5,Trade Balance,135,40886,Sep 11 2012,8:30am,CAD,Trade Balance,high, ,-1.4B, 
1,2012.09.11 21:30,USD,5,Trade Balance,136,40884,Sep 11 2012,8:30am,USD,Trade Balance,high, ,-44.2B, 
1,2012.09.11 23:00,USD,1,IBD/TIPP Economic Optimism,137,41242,Sep 11 2012,10:00am,USD,IBD/TIPP Economic Optimism,low,45.6,47.3, 
1,2012.09.11 23:00,USD,1,JOLTS Job Openings,138,49338,Sep 11 2012,10:00am,USD,JOLTS Job Openings,low, ,3.74M, 
1,2012.09.12 02:15,GBP,3,MPC Member Miles Speaks,139,44162,Sep 11 2012,1:15pm,GBP,MPC Member Miles Speaks,medium, , , 
1,2012.09.12 08:50,JPY,3,Core Machinery Orders m/m,140,38957,Sep 11 2012,7:50pm,JPY,Core Machinery Orders m/m,medium,5.6%,1.7%, 
1,2012.09.12 08:50,JPY,3,Tertiary Industry Activity m/m,141,39014,Sep 11 2012,7:50pm,JPY,Tertiary Industry Activity m/m,medium, ,-0.4%, 
1,2012.09.12 08:50,JPY,1,PPI y/y,142,38990,Sep 11 2012,7:50pm,JPY,PPI y/y,low, ,-1.9%,-1.8%
1,2012.09.12 09:30,AUD,3,Westpac Consumer Sentiment,143,39217,Sep 11 2012,8:30pm,AUD,Westpac Consumer Sentiment,medium,-2.5%, ,1.6%
1,2012.09.12 10:30,AUD,1,Housing Starts q/q,144,39596,Sep 11 2012,9:30pm,AUD,Housing Starts q/q,low, ,2.7%, 
1,2012.09.12 14:30,EUR,1,French CPI m/m,145,40781,Sep 12 2012,1:30am,EUR,French CPI m/m,low,-0.4%,0.5%, 
1,2012.09.12 15:00,EUR,1,German Final CPI m/m,146,40730,Sep 12 2012,2:00am,EUR,German Final CPI m/m,low,0.3%,0.3%, 
1,2012.09.12 17:00,EUR,5,German Constitutional Court Ruling,147,43966,Sep 12 2012,4:00am,EUR,German Constitutional Court Ruling,high, , , 
1,2012.09.12 17:00,EUR,3,Italian Industrial Production m/m,148,40851,Sep 12 2012,4:00am,EUR,Italian Industrial Production m/m,medium, ,-0.5%, 
0,,EUR,5,Dutch Parliamentary Election,149,44430,Sep 12 2012,All Day,EUR,Dutch Parliamentary Election,high, , , 
1,2012.09.12 17:30,GBP,5,Claimant Count Change,150,40442,Sep 12 2012,4:30am,GBP,Claimant Count Change,high, ,0.1K, 
1,2012.09.12 17:30,GBP,3,Unemployment Rate,151,40443,Sep 12 2012,4:30am,GBP,Unemployment Rate,medium,8.0%,8.0%, 
1,2012.09.12 17:30,GBP,1,Average Earnings Index 3m/y,152,40444,Sep 12 2012,4:30am,GBP,Average Earnings Index 3m/y,low, ,1.5%,1.5%
1,2012.09.12 18:00,EUR,3,Industrial Production m/m,153,41254,Sep 12 2012,5:00am,EUR,Industrial Production m/m,medium,-0.6%,0.0%, 
1,2012.09.12 18:00,GBP,1,CB Leading Index m/m,154,41737,Sep 12 2012,5:00am,GBP,CB Leading Index m/m,low, , ,0.1%
1,2012.09.12 20:00,GBP,3,MPC Member Broadbent Speaks,155,44163,Sep 12 2012,7:00am,GBP,MPC Member Broadbent Speaks,medium, , , 
1,2012.09.12 21:30,USD,3,Import Prices m/m,156,41054,Sep 12 2012,8:30am,USD,Import Prices m/m,medium, ,1.4%, 
1,2012.09.12 23:00,USD,1,Wholesale Inventories m/m,157,41166,Sep 12 2012,10:00am,USD,Wholesale Inventories m/m,low,-0.2%,0.3%, 
1,2012.09.12 23:30,USD,3,Crude Oil Inventories,158,41632,Sep 12 2012,10:30am,USD,Crude Oil Inventories,medium,-7.4M,-1.8M,2.0M
1,2012.09.13 02:00,USD,3,10-y Bond Auction,159,42341,Sep 12 2012,1:00pm,USD,10-y Bond Auction,medium,1.68|2.5, ,1.76|2.9
1,2012.09.13 06:00,NZD,5,Official Cash Rate,160,38815,Sep 12 2012,5:00pm,NZD,Official Cash Rate,high,2.50%,2.50%,2.50%
1,2012.09.13 06:00,NZD,5,RBNZ Press Conference,161,40128,Sep 12 2012,5:00pm,NZD,RBNZ Press Conference,high, , , 
1,2012.09.13 06:00,NZD,5,RBNZ Rate Statement,162,38816,Sep 12 2012,5:00pm,NZD,RBNZ Rate Statement,high, , , 
1,2012.09.13 06:00,NZD,3,RBNZ Monetary Policy Statement,163,40124,Sep 12 2012,5:00pm,NZD,RBNZ Monetary Policy Statement,medium, , , 
1,2012.09.13 07:24,NZD,1,Business NZ Manufacturing Index,164,38682,Sep 12 2012,6:24pm,NZD,Business NZ Manufacturing Index,low,49.4, ,47.2
1,2012.09.13 08:01,GBP,1,BOE Quarterly Bulletin,165,40492,Sep 12 2012,7:01pm,GBP,BOE Quarterly Bulletin,low, , , 
1,2012.09.13 09:59,AUD,3,MI Inflation Expectations,166,39216,Sep 12 2012,8:59pm,AUD,MI Inflation Expectations,medium,2.4%, ,2.4%
1,2012.09.13 10:30,AUD,1,RBA Bulletin,167,38376,Sep 12 2012,9:30pm,AUD,RBA Bulletin,low, , , 
1,2012.09.13 16:15,CHF,3,PPI m/m,168,39273,Sep 13 2012,3:15am,CHF,PPI m/m,medium,-0.3%,-0.2%, 
1,2012.09.13 16:30,CHF,5,Libor Rate,169,39434,Sep 13 2012,3:30am,CHF,Libor Rate,high,0.25%,0.25%,0.25%
1,2012.09.13 16:30,CHF,5,SNB Monetary Policy Assessment,170,39435,Sep 13 2012,3:30am,CHF,SNB Monetary Policy Assessment,high, , , 
1,2012.09.13 17:00,EUR,3,ECB Monthly Bulletin,171,41436,Sep 13 2012,4:00am,EUR,ECB Monthly Bulletin,medium, , , 
1,2012.09.13 18:40,GBP,3,10-y Bond Auction,172,42476,Sep 13 2012,5:40am,GBP,10-y Bond Auction,medium,1.72|2.2, ,1.83|1.8
1,2012.09.13 21:30,CAD,3,NHPI m/m,173,41887,Sep 13 2012,8:30am,CAD,NHPI m/m,medium,0.2%,0.2%, 
1,2012.09.13 21:30,CAD,1,Capacity Utilization Rate,174,41956,Sep 13 2012,8:30am,CAD,Capacity Utilization Rate,low, ,81.1%,81.0%
1,2012.09.13 21:30,USD,5,PPI m/m,175,40946,Sep 13 2012,8:30am,USD,PPI m/m,high,0.3%,1.1%, 
1,2012.09.13 21:30,USD,5,Unemployment Claims,176,39836,Sep 13 2012,8:30am,USD,Unemployment Claims,high, ,370K, 
1,2012.09.13 21:30,USD,3,Core PPI m/m,177,40947,Sep 13 2012,8:30am,USD,Core PPI m/m,medium,0.4%,0.2%,0.2%
1,2012.09.13 23:30,USD,1,Natural Gas Storage,178,39784,Sep 13 2012,10:30am,USD,Natural Gas Storage,low,28B,26B,27B
1,2012.09.14 00:30,USD,1,30-y Bond Auction,179,42951,Sep 13 2012,11:30am,USD,30-y Bond Auction,low,2.83|2.4, ,2.90|2.7
1,2012.09.14 01:30,USD,5,FOMC Statement,180,38415,Sep 13 2012,12:30pm,USD,FOMC Statement,high, , , 
1,2012.09.14 01:30,USD,3,Federal Funds Rate,181,38414,Sep 13 2012,12:30pm,USD,Federal Funds Rate,medium,0.25%,0.25%,0.25%
